0,1,2,3,4,5,6,7,8,9,mean
20,21,20,20,21,20,20,20,21,20,20.3
22,21,20,22,21,22,22,22,23,21,21.6
19,20,21,19,19,19,19,21,19,19,19.5
21,21,20,20,21,20,20,21,22,21,20.7
21,21,21,23,22,22,21,21,21,21,21.4
