0,1,2,3,4,5,6,7,8,9,mean
23,20,22,22,20,21,21,23,22,20,21.4
23,22,21,21,19,22,21,21,21,22,21.3
22,23,19,21,20,21,21,21,20,21,20.9
20,23,21,21,21,19,21,22,22,21,21.1
21,20,22,21,23,22,21,21,21,22,21.4
